Event	ID	Name			Wwise Object Path	Notes
	317328359	SlamSFX			\Default Work Unit\SlamSFX	
	678577415	SwordSwingSFX			\Default Work Unit\SwordSwingSFX	
	815564649	Warpstrike			\Default Work Unit\Warpstrike	
	1252362508	Armiger			\Default Work Unit\Armiger	
	1799292946	Dodge			\Default Work Unit\Dodge	
	2026920480	Roll			\Default Work Unit\Roll	
	3132817712	GreatswordSwingSFX			\Default Work Unit\GreatswordSwingSFX	
	3238668823	newNoctisEntrance			\Default Work Unit\newNoctisEntrance	
	3524697753	NoctisDeath			\Default Work Unit\NoctisDeath	
	4002145769	NoctisVoice			\Default Work Unit\NoctisVoice	
	4067689284	PolearmSwingSFX			\Default Work Unit\PolearmSwingSFX	
	4079179005	NoctisHitSFX			\Default Work Unit\NoctisHitSFX	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	
	3695994288	Volume_Master			\Default Work Unit\Volume_Master	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	298142401	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitVoice\New Sound SFX_01\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10358252	p_fit100_chatvoice_e#14	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_chatvoice_e#14_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisDeath\NoctisDeath\p_fit100_chatvoice_e#14		21994
	42939336	p_fit100_voice_e#60	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_voice_e#60_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitVoice\p_fit100_voice_e#60		7325
	103493049	we02_throw_win (SE_weaponskill_ex-we02_throw)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\we02_throw.win (SE_weaponskill_ex-we02_throw)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\PolearmSwingSFX\we02_throw_win (SE_weaponskill_ex-we02_throw)		19510
	135070158	p_fit100_voice_e#55	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_voice_e#55_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitVoice\p_fit100_voice_e#55		5705
	150603162	btl_swish_sword_win [1]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_swish_sword.win [1]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\SwordSwingSFX\btl_swish_sword_win [1]		4294
	154958111	se_combat_win [167]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win [167]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\GreatswordSwingSFX\se_combat_win [167]		15292
	168208587	se_combat_win#176 (SE_Combat-btl_swish_largesword)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#176 (SE_Combat-btl_swish_largesword)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\GreatswordSwingSFX\se_combat_win#176 (SE_Combat-btl_swish_largesword)		12126
	168509080	se_combat_win [163]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win [163]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\GreatswordSwingSFX\se_combat_win [163]		11796
	217316843	btl_waap_appear_win#1 (SE_Combat-btl_waap_appear)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_waap_appear.win#1 (SE_Combat-btl_waap_appear)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisDodge\btl_waap_appear_win#1 (SE_Combat-btl_waap_appear)		18031
	220382952	btl_phantom_shiftbreak01_win#1 (SE_weaponskill_nh00-btl_phantom_shiftbreak01)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_phantom_shiftbreak01.win#1 (SE_weaponskill_nh00-btl_phantom_shiftbreak01)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisArmiger\btl_phantom_shiftbreak01_win#1 (SE_weaponskill_nh00-btl_phantom_shiftbreak01)		31370
	232935841	btl_phantom_shiftbreak06_win [1]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_phantom_shiftbreak06.win [1]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisArmiger\btl_phantom_shiftbreak06_win [1]		25997
	254269044	p_fit100_chatvoice_e#44	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_chatvoice_e#44_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisEntrance\NoctisEntrance\p_fit100_chatvoice_e#44		38133
	287299326	p_fit100_voice_e#64	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_voice_e#64_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitVoice\p_fit100_voice_e#64		11203
	302716700	btl_swish_sword_win [2]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_swish_sword.win [2]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\SwordSwingSFX\btl_swish_sword_win [2]		4065
	319584673	btl_waap_appear_win#3 (SE_Combat-btl_waap_appear)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_waap_appear.win#3 (SE_Combat-btl_waap_appear)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisDodge\btl_waap_appear_win#3 (SE_Combat-btl_waap_appear)		19311
	343199490	se_combat_win#177 (SE_Combat-btl_swish_largesword)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#177 (SE_Combat-btl_swish_largesword)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\GreatswordSwingSFX\se_combat_win#177 (SE_Combat-btl_swish_largesword)		14894
	360761837	btl_waap_appear_win#4 (SE_Combat-btl_waap_appear)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\btl_waap_appear.win#4 (SE_Combat-btl_waap_appear)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisDodge\btl_waap_appear_win#4 (SE_Combat-btl_waap_appear)		22621
	370445218	se_combat_win#101 (SE_Combat-btl_halberd_hit)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#101 (SE_Combat-btl_halberd_hit)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\PolearmSwingSFX\se_combat_win#101 (SE_Combat-btl_halberd_hit)		6945
	375454455	roll_win [1]	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\roll.win [1]_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisUtility\NoctisRoll\roll_win [1]		9309
	409039722	p_fit100_chatvoice_e#9	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_chatvoice_e#9_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisEntrance\NoctisEntrance\p_fit100_chatvoice_e#9		25675
	461162884	se_combat_win#158 (SE_Combat-btl_critical_hit)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#158 (SE_Combat-btl_critical_hit)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitSFX\se_combat_win#158 (SE_Combat-btl_critical_hit)		12555
	464823038	p_fit100_chatvoice_e#55	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_chatvoice_e#55_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisEntrance\NoctisEntrance\p_fit100_chatvoice_e#55		33327
	496096525	p_fit100_voice_e#71	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_voice_e#71_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisHitSFX\NoctisHitVoice\p_fit100_voice_e#71		7501
	545841293	se_combat_win#1 (SE_Combat-btl_swish_sword)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#1 (SE_Combat-btl_swish_sword)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\SwordSwingSFX\se_combat_win#1 (SE_Combat-btl_swish_sword)		5024
	554548089	p_fit100_chatvoice_e#13	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_chatvoice_e#13_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisDeath\NoctisDeath\p_fit100_chatvoice_e#13		22892
	601593659	p_fit100_voice_e#22	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\p_fit100_voice_e#22_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisDeath\NoctisDeath\p_fit100_voice_e#22		12377
	617179727	se_combat_win#16 (SE_Combat-btl_swish_largesword_gradio)	F:\Theodore 3\GameDev\Mods\NoctisRoR2\NoctisModWwise\NoctisWWise\NoctisMod\.cache\Windows\SFX\se_combat.win#16 (SE_Combat-btl_swish_largesword_gradio)_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Sfx Mixer\NoctisWeaponSFX\GreatswordSwingSFX\se_combat_win#16 (SE_Combat-btl_swish_largesword_gradio)		4813
